IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,No,NULL,NULL,Unknown,NULL,44344,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Grundy,Morris,600,620,520
NULL,NULL,No,NULL,NULL,,NULL,25873,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,McHenry,Wonder Lake,NULL,NULL,NULL
NULL,NULL,Yes,NULL,No,Hispanic or Latino,No,43852,Hispanic or Latino,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,500,460,460
NULL,NULL,No,NULL,NULL,,NULL,13882,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Melrose Park,250,250,300
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, Asian",NULL,1057,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,550,510,NULL
NULL,NULL,No,NULL,NULL,,NULL,33991,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,600,620,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,1060,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,520,590,NULL
NULL,NULL,No,NULL,NULL,,NULL,33992,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Midlothian,530,520,NULL
NULL,NULL,No,NULL,NULL,,NULL,25901,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Hainesville,560,500,NULL
NULL,NULL,Yes,NULL,No,Two or More Races,No,25906,Two or More Races,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Peoria,Peoria,610,580,660
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, American Indian or Alaska Native",NULL,25911,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,Romeoville,560,480,NULL
NULL,NULL,No,NULL,NULL,,NULL,1591,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Richton Park,470,420,NULL
NULL,NULL,No,NULL,NULL,,NULL,1591,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Richton Park,450,380,350
NULL,NULL,No,NULL,NULL,,NULL,7937,Black or African American,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Lynwood,490,450,NULL
NULL,NULL,No,NULL,NULL,,NULL,25922,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,Naperville,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,25927,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Richton Park,440,470,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43853,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,McHenry,Algonquin,560,610,610
NULL,NULL,No,NULL,NULL,,NULL,25951,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Steger,360,390,NULL
NULL,NULL,No,NULL,NULL,,NULL,25958,Not Reported,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Riverside,390,580,510
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,25960,Two or More Races,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,720,690,NULL
NULL,NULL,No,NULL,NULL,,NULL,25963,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,560,560,NULL
NULL,NULL,Yes,NULL,Yes,White,Yes,2598,Hispanic or Latino,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Burr Ridge,540,580,640
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, American Indian or Alaska Native",NULL,25976,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,520,540,430
NULL,NULL,No,NULL,NULL,,NULL,25986,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Bloomingdale,610,630,NULL
NULL,NULL,No,NULL,NULL,,NULL,25986,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,Waitlist,DuPage,Bloomingdale,590,650,590
NULL,NULL,No,NULL,NULL,White,NULL,44345,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,490,610,430
NULL,NULL,Yes,NULL,No,Black or African American,No,5313,Black or African American,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Will,Bolingbrook,550,520,490
NULL,NULL,No,NULL,NULL,,NULL,15599,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago Hts,400,410,430
NULL,NULL,No,NULL,NULL,,NULL,33993,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,McHenry,Woodstock,510,580,NULL
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,2599,Two or More Races,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Naperville,730,570,560
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,2599,Two or More Races,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,700,660,640
NULL,NULL,No,NULL,NULL,Unknown,NULL,44346,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Deferred,Kane,Aurora,740,670,550
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,13916,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,430,460,NULL
NULL,NULL,No,NULL,NULL,,NULL,26078,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Rolling Mdws,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,26082,Not Reported,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Palos Park,480,470,510
NULL,NULL,No,NULL,NULL,,NULL,26086,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,560,560,NULL
NULL,NULL,Yes,NULL,Yes,White,Yes,26090,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Oak Park,NULL,NULL,NULL
Yes,Accept,Yes,2,No,White,No,44347,White,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,Will,Lockport,590,590,570
NULL,NULL,No,NULL,NULL,,NULL,15607,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Westchester,530,490,440
NULL,NULL,No,NULL,NULL,,NULL,26097,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Cicero,440,430,480
NULL,NULL,Yes,2,No,"Hispanic or Latino, White",No,33677,Hispanic or Latino,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,510,580,NULL
NULL,NULL,No,NULL,NULL,,NULL,26102,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Schaumburg,680,520,NULL
NULL,NULL,Yes,NULL,No,White,No,43861,White,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Grayslake,620,540,540
Yes,Accept,Yes,NULL,No,White,No,43861,White,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,Lake,Grayslake,600,580,600
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,2600,Two or More Races,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,650,570,NULL
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,2600,Two or More Races,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,14797,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Wheaton,670,540,520
NULL,NULL,No,NULL,NULL,,NULL,43862,Not Reported,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,St Charles,590,590,590
NULL,NULL,No,NULL,NULL,,NULL,33761,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Grundy,Morris,570,560,520
NULL,NULL,Yes,NULL,Yes,White,Yes,15614,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Moultrie,Sullivan,640,530,500
NULL,NULL,No,NULL,NULL,White,NULL,43863,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Moultrie,Sullivan,550,630,630
NULL,NULL,Yes,NULL,No,Asian,No,13937,Asian,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Addison,690,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,9199,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,550,540,NULL
NULL,NULL,No,NULL,NULL,,NULL,9199,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,560,590,600
Yes,NULL,Yes,NULL,No,"Asian, White",No,26181,Two or More Races,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,Yes,Waitlist,Kane,South Elgin,720,530,630
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, American Indian or Alaska Native",NULL,44350,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Will,Homer Glen,460,470,410
NULL,NULL,No,NULL,NULL,,NULL,26187,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,510,360,420
NULL,NULL,No,NULL,NULL,,NULL,26194,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Monee,490,530,530
NULL,NULL,No,NULL,NULL,"American Indian or Alaska Native, Asian",NULL,33994,Two or More Races,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,660,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,15617,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,430,360,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,31456,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,Will,Romeoville,700,600,600
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,43963,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,McHenry,Marengo,500,560,550
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,26223,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Bensenville,550,640,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,26224,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,9027,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Buffalo Grove,680,530,NULL
NULL,NULL,No,NULL,NULL,,NULL,26229,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Lake,Round Lake,570,630,570
NULL,NULL,No,NULL,NULL,,NULL,1090,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,540,540,NULL
NULL,NULL,Yes,NULL,Yes,White,Yes,26239,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago Ridge,500,500,470
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15619,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Wheaton,560,480,NULL
NULL,NULL,No,NULL,NULL,,NULL,26245,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Addison,580,690,560
NULL,NULL,No,NULL,NULL,Asian,NULL,44353,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,600,550,560
NULL,NULL,No,NULL,NULL,,NULL,26253,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Lake,Lake Bluff,640,510,480
NULL,NULL,No,NULL,NULL,,NULL,26256,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Northbrook,740,650,NULL
NULL,NULL,No,NULL,NULL,White,NULL,44354,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Burbank,0,0,0
NULL,NULL,No,NULL,NULL,Hispanic or Latino,NULL,41493,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,450,490,400
NULL,NULL,No,NULL,NULL,Asian,NULL,31460,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,580,450,450
NULL,NULL,No,NULL,NULL,,NULL,33995,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Round Lake,660,550,NULL
NULL,NULL,No,NULL,NULL,,NULL,26279,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Des Plaines,430,500,490
NULL,NULL,No,NULL,NULL,,NULL,26280,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Woodford,Eureka,580,610,500
NULL,NULL,No,NULL,NULL,,NULL,26281,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Lake,Lake Zurich,630,480,550
NULL,NULL,No,NULL,NULL,,NULL,141,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,Waitlist,DuPage,Elmhurst,660,700,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, Black or African American",NULL,6336,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Homewood,320,350,NULL
NULL,NULL,No,NULL,NULL,,NULL,26300,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Peoria,Peoria,540,690,550
NULL,NULL,No,NULL,NULL,Unknown,NULL,44355,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Hoffman Est,520,430,460
NULL,NULL,No,NULL,NULL,,NULL,7988,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,520,460,NULL
NULL,NULL,No,NULL,NULL,,NULL,29735,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,620,480,480
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,26312,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,630,480,NULL
NULL,NULL,Yes,NULL,No,White,No,26314,White,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Macon,Mount Zion,710,630,620
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, American Indian or Alaska Native, White",NULL,26323,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Cicero,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33996,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Gurnee,570,520,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33996,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Gurnee,640,560,560
NULL,NULL,No,NULL,NULL,Asian,NULL,44357,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,530,430,390
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, American Indian or Alaska Native, White",NULL,9328,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,570,510,470
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,13963,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,500,470,430
NULL,NULL,No,NULL,NULL,,NULL,26340,American Indian or Alaska Native,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,450,590,530
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,43866,Hispanic or Latino,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,LaSalle,Ottawa,410,480,480
NULL,NULL,No,NULL,NULL,Asian,NULL,33997,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Hoffman Est,640,610,NULL
NULL,NULL,No,NULL,NULL,,NULL,26367,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,780,570,670
NULL,NULL,No,NULL,NULL,,NULL,8000,Black or African American,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Park Forest,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,44358,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Downers Grove,0,0,0
NULL,NULL,No,NULL,NULL,,NULL,26372,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Woodridge,510,540,490
NULL,NULL,No,NULL,NULL,,NULL,26372,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Woodridge,660,570,520
NULL,NULL,No,NULL,NULL,,NULL,26377,Not Reported,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,490,520,470
NULL,NULL,No,NULL,NULL,,NULL,2602,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Hickory Hills,510,500,640
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,43281,Two or More Races,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Downers Grove,540,520,520
NULL,NULL,Yes,3,No,Hispanic or Latino,No,43867,Hispanic or Latino,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,410,370,370
NULL,NULL,No,NULL,NULL,,NULL,26389,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Geneva,560,540,600
Yes,Accept,Yes,NULL,No,Asian,No,44359,Asian,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,Kane,Geneva,620,610,650
NULL,NULL,No,NULL,NULL,Black or African American,NULL,33656,Black or African American,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Will,Shorewood,540,550,550
NULL,NULL,No,NULL,NULL,,NULL,26410,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Oak Forest,650,510,NULL
NULL,NULL,No,NULL,NULL,,NULL,33998,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Naperville,770,740,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,9329,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,Cook,Glencoe,670,600,NULL
NULL,NULL,No,NULL,NULL,,NULL,33999,Not Reported,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Libertyville,590,560,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,26423,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,Lake,Round Lake,700,510,NULL
NULL,Rescinded,No,NULL,NULL,Asian,NULL,43869,Asian,NULL,No,Yes,NULL,2015,Rescinded,NULL,NULL,NULL,Waitlist,Cook,Palatine,680,580,580
NULL,NULL,No,NULL,NULL,,NULL,13983,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,490,460,NULL
NULL,NULL,No,NULL,NULL,,NULL,9332,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Williamson,Carterville,520,470,NULL
NULL,NULL,No,NULL,NULL,White,NULL,12531,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,Sugar Grove,650,630,650
NULL,NULL,No,NULL,NULL,,NULL,34000,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Winnebago,Machesney Pk,510,590,NULL
NULL,NULL,No,NULL,NULL,,NULL,34001,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,590,600,NULL
NULL,NULL,No,NULL,NULL,White,NULL,44360,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,640,590,550
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,8966,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Bartlett,550,560,460
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,8966,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Bartlett,620,540,490
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,44362,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Brookfield,610,660,560
NULL,NULL,No,NULL,NULL,,NULL,26487,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Dekalb,Sycamore,640,570,520
NULL,NULL,No,NULL,NULL,,NULL,26526,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Fulton,Canton,440,480,NULL
NULL,NULL,Yes,NULL,No,White,No,9333,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,West Chicago,510,620,NULL
Yes,Accept,Yes,NULL,No,White,No,9333,White,Yes,Yes,Yes,Yes,2015,Accept,NULL,NULL,Yes,Waitlist,DuPage,West Chicago,540,620,620
NULL,NULL,No,NULL,NULL,,NULL,15030,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Franklin,Sesser,440,450,390
NULL,NULL,No,NULL,NULL,,NULL,15030,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kankakee,Bradley,530,400,NULL
NULL,NULL,No,NULL,NULL,,NULL,4832,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,390,450,420
NULL,NULL,No,NULL,NULL,,NULL,26533,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,670,590,590
NULL,NULL,Yes,NULL,Yes,,Yes,4834,White,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,550,530,NULL
NULL,NULL,No,NULL,NULL,,NULL,26543,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kendall,Yorkville,610,420,450
NULL,NULL,No,NULL,NULL,,NULL,34002,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,590,550,NULL
NULL,NULL,No,NULL,NULL,,NULL,26558,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,LaSalle,Sheridan,530,390,NULL
NULL,NULL,No,NULL,NULL,,NULL,26559,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,LaSalle,Sheridan,460,580,NULL
NULL,NULL,No,NULL,NULL,,NULL,12260,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Henry,Kewanee,470,560,NULL
NULL,NULL,No,NULL,NULL,,NULL,12260,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Henry,Kewanee,470,650,490
NULL,NULL,Yes,NULL,No,Black or African American,No,4837,Black or African American,No,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,St. Clair,Fairview Hts,550,460,600
NULL,NULL,No,NULL,NULL,Black or African American,NULL,8016,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago Hts,400,480,530
NULL,NULL,Yes,NULL,No,White,No,8018,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,540,480,610
NULL,NULL,No,NULL,NULL,,NULL,8967,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Glen Ellyn,580,490,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,44363,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kendall,Montgomery,390,400,470
NULL,NULL,No,NULL,NULL,Asian,NULL,44364,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,770,500,500
NULL,NULL,No,NULL,NULL,Asian,NULL,44366,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Lisle,740,670,650
NULL,NULL,No,NULL,NULL,Asian,NULL,43871,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,Will,Bolingbrook,690,690,690
NULL,NULL,No,NULL,NULL,,NULL,26636,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Vernon Hills,550,460,NULL
NULL,NULL,No,NULL,NULL,Unknown,NULL,33594,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,440,530,470
NULL,NULL,No,NULL,NULL,,NULL,9334,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,McHenry,Woodstock,650,610,NULL
NULL,NULL,Yes,NULL,No,White,No,34004,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,650,560,NULL
NULL,NULL,No,NULL,NULL,,NULL,3600,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Roselle,560,470,NULL
